Aar,NACE2007,SN2007,alder,ansatte
2020,58-63,Informasjon og kommunikasjon,15-74 år,13
2008,64-66,Finansiering og forsikring,15-74 år,20
2009,64-66,Finansiering og forsikring,15-74 år,11
2010,64-66,Finansiering og forsikring,15-74 år,15
2011,64-66,Finansiering og forsikring,15-74 år,17
2012,64-66,Finansiering og forsikring,15-74 år,13
2013,64-66,Finansiering og forsikring,15-74 år,12
2014,64-66,Finansiering og forsikring,15-74 år,3
2015,64-66,Finansiering og forsikring,15-74 år,3
2016,64-66,Finansiering og forsikring,15-74 år,6
2017,64-66,Finansiering og forsikring,15-74 år,3
2018,64-66,Finansiering og forsikring,15-74 år,3
2019,64-66,Finansiering og forsikring,15-74 år,3
2020,64-66,Finansiering og forsikring,15-74 år,NA
2008,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,31
2009,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,30
2010,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,35
2011,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,30
2012,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,28
2013,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,32
2014,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,37
2015,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,31
2016,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,31
2017,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,24
2018,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,28
2019,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,29
2020,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,33
2008,77-82,Forretningsmessig tjenesteyting,15-74 år,89
2009,77-82,Forretningsmessig tjenesteyting,15-74 år,75
2010,77-82,Forretningsmessig tjenesteyting,15-74 år,77
2011,77-82,Forretningsmessig tjenesteyting,15-74 år,76
2012,77-82,Forretningsmessig tjenesteyting,15-74 år,84
2013,77-82,Forretningsmessig tjenesteyting,15-74 år,75
2014,77-82,Forretningsmessig tjenesteyting,15-74 år,97
2015,77-82,Forretningsmessig tjenesteyting,15-74 år,63
2016,77-82,Forretningsmessig tjenesteyting,15-74 år,61
2017,77-82,Forretningsmessig tjenesteyting,15-74 år,65
