Knr,Kjonn,Alder,ContentsCode,Aar,knavn,00-99,01-03,05-09,10-33,35-39,41-43,45-47,49-53,55-56,58-63,64-66,68-75,77-82,84,85,86-88,90-99,00
1146,0,55-66,SysselsatteArb,2020,1146,917,43,NA,105,NA,68,83,40,7,28,0,28,44,32,82,142,24,12
1146,0,67-74,SysselsatteArb,2008,1146,92,37,3,5,0,7,7,3,0,0,0,3,3,3,3,15,3,0
1146,0,67-74,SysselsatteArb,2009,1146,104,43,0,4,0,6,9,6,3,0,0,4,0,3,6,14,3,3
1146,0,67-74,SysselsatteArb,2010,1146,90,30,0,6,0,3,8,5,3,3,0,3,0,3,3,17,6,0
1146,0,67-74,SysselsatteArb,2011,1146,102,30,0,8,0,5,8,4,3,5,0,0,0,7,8,18,3,3
1146,0,67-74,SysselsatteArb,2012,1146,130,40,0,11,0,9,11,6,3,3,0,3,3,6,7,18,4,6
1146,0,67-74,SysselsatteArb,2013,1146,120,40,0,9,0,8,7,0,3,3,0,4,3,3,7,20,7,6
1146,0,67-74,SysselsatteArb,2014,1146,129,36,0,9,0,10,10,0,3,0,0,6,6,3,10,24,9,3
1146,0,67-74,SysselsatteArb,2015,1146,127,34,0,7,0,12,7,4,3,0,0,6,3,4,11,20,5,11
1146,0,67-74,SysselsatteArb,2016,1146,118,36,0,3,0,10,7,3,3,3,0,10,3,6,7,13,3,11
1146,0,67-74,SysselsatteArb,2017,1146,118,34,0,8,0,13,7,3,0,0,0,9,3,5,5,14,3,14
1146,0,67-74,SysselsatteArb,2018,1146,105,31,0,4,0,18,7,3,0,0,0,8,0,3,3,13,6,9
1146,0,67-74,SysselsatteArb,2019,1146,116,32,3,6,0,17,4,3,0,3,0,11,0,0,4,11,12,10
1146,0,67-74,SysselsatteArb,2020,1146,99,33,NA,8,NA,13,4,6,3,3,0,7,0,0,0,8,3,8
1149,0,15-74,SysselsatteArb,2008,1149,15194,472,55,3357,120,1472,2026,1402,267,136,117,420,514,394,1203,2771,371,97
1149,0,15-74,SysselsatteArb,2009,1149,14666,462,134,2806,101,1442,1968,1388,255,146,110,415,445,367,1244,2885,404,94
1149,0,15-74,SysselsatteArb,2010,1149,14591,447,161,2571,102,1532,2080,1424,257,157,114,416,472,379,1199,2807,372,101
1149,0,15-74,SysselsatteArb,2011,1149,14781,378,172,2475,105,1682,2149,1346,281,133,99,432,563,390,1154,2950,384,88
1149,0,15-74,SysselsatteArb,2012,1149,14989,369,187,2408,107,1775,2144,1365,285,160,100,414,671,448,1162,2929,370,95
1149,0,15-74,SysselsatteArb,2013,1149,15239,357,209,2367,128,1876,2030,1470,336,158,97,444,628,466,1197,3002,371,103
1149,0,15-74,SysselsatteArb,2014,1149,15457,337,246,2353,112,1907,2005,1495,343,135,81,495,616,474,1244,3162,356,96
1149,0,15-74,SysselsatteArb,2015,1149,15066,340,194,2302,105,1811,1983,1441,259,141,75,473,586,427,1197,3151,416,165
1149,0,15-74,SysselsatteArb,2016,1149,15287,367,196,2313,110,1808,2001,1362,265,155,77,448,727,476,1213,3167,437,165
1149,0,15-74,SysselsatteArb,2017,1149,15728,347,263,2426,109,1907,1991,1407,265,163,72,461,810,469,1257,3197,426,158
1149,0,15-74,SysselsatteArb,2018,1149,15866,358,300,2419,114,1807,1951,1431,315,180,67,462,892,437,1294,3297,403,139
1149,0,15-74,SysselsatteArb,2019,1149,15978,329,307,2476,123,1891,1939,1430,280,186,64,480,861,476,1318,3280,409,129
1149,0,15-74,SysselsatteArb,2020,1149,16059,338,291,2470,133,1920,2020,1443,269,194,75,487,883,481,1333,3208,407,107
1149,0,55-66,SysselsatteArb,2008,1149,2549,120,15,553,20,172,266,247,12,15,29,78,102,84,282,462,61,31
1149,0,55-66,SysselsatteArb,2009,1149,2583,115,14,522,21,187,264,257,14,11,27,92,93,81,298,489,67,31
1149,0,55-66,SysselsatteArb,2010,1149,2566,98,16,486,17,192,267,281,21,12,29,102,94,89,280,494,53,35
1149,0,55-66,SysselsatteArb,2011,1149,2575,97,14,482,19,207,261,258,18,13,31,96,109,94,278,510,58,30
1149,0,55-66,SysselsatteArb,2012,1149,2629,84,15,494,23,216,269,264,19,12,27,86,120,94,288,521,66,31
1149,0,55-66,SysselsatteArb,2013,1149,2762,85,24,468,23,236,283,325,21,15,26,113,116,107,277,538,68,37
1149,0,55-66,SysselsatteArb,2014,1149,2778,87,29,441,24,243,289,318,28,12,23,118,136,102,296,540,61,31
1149,0,55-66,SysselsatteArb,2015,1149,2726,89,20,431,20,245,290,324,22,12,23,113,125,98,273,520,69,52
1149,0,55-66,SysselsatteArb,2016,1149,2731,80,21,451,21,250,285,307,21,12,28,106,136,96,271,532,72,42
1149,0,55-66,SysselsatteArb,2017,1149,2754,81,28,457,22,246,281,312,21,17,20,109,153,94,258,543,67,45
1149,0,55-66,SysselsatteArb,2018,1149,2732,79,28,463,22,255,279,304,25,17,20,96,163,84,251,551,59,36
1149,0,55-66,SysselsatteArb,2019,1149,2834,84,31,486,24,273,311,320,22,15,18,98,153,92,254,556,62,35
1149,0,55-66,SysselsatteArb,2020,1149,2900,82,29,482,24,304,340,357,25,13,17,89,150,95,241,548,70,34
1149,0,67-74,SysselsatteArb,2008,1149,254,55,3,34,0,18,31,32,3,0,3,10,12,3,14,21,7,8
1149,0,67-74,SysselsatteArb,2009,1149,273,56,3,34,0,18,38,26,3,3,0,17,11,6,11,27,12,8
1149,0,67-74,SysselsatteArb,2010,1149,265,56,0,37,0,15,39,27,3,3,0,16,7,4,17,17,14,10
1149,0,67-74,SysselsatteArb,2011,1149,290,44,3,35,0,22,40,29,7,3,3,21,10,10,16,27,12,8
1149,0,67-74,SysselsatteArb,2012,1149,313,59,3,35,0,20,40,35,5,3,0,25,20,3,22,21,8,14
1149,0,67-74,SysselsatteArb,2013,1149,340,56,3,36,3,25,35,39,8,3,0,29,19,3,19,36,14,12
1149,0,67-74,SysselsatteArb,2014,1149,358,51,0,32,0,29,37,45,7,3,0,35,10,10,25,44,19,11
1149,0,67-74,SysselsatteArb,2015,1149,342,53,0,30,3,21,38,18,6,3,0,29,7,9,15,56,20,34
1149,0,67-74,SysselsatteArb,2016,1149,356,54,0,29,0,23,32,22,3,3,0,31,11,8,17,58,16,49
1149,0,67-74,SysselsatteArb,2017,1149,364,53,0,26,0,31,36,27,6,3,0,35,12,8,17,51,15,44
1149,0,67-74,SysselsatteArb,2018,1149,373,45,3,27,3,24,34,37,3,0,0,39,12,5,19,58,22,42
1149,0,67-74,SysselsatteArb,2019,1149,384,39,3,35,0,28,28,41,3,3,0,43,13,6,19,63,20,40
1149,0,67-74,SysselsatteArb,2020,1149,386,54,3,28,0,28,34,52,4,0,3,47,10,7,13,57,17,29
1151,0,15-74,SysselsatteArb,2008,1151,111,9,0,0,0,9,3,26,9,0,0,0,11,10,10,21,3,0
1151,0,15-74,SysselsatteArb,2009,1151,105,6,0,3,0,11,3,22,3,0,0,3,12,6,9,24,3,0
1151,0,15-74,SysselsatteArb,2010,1151,105,9,0,0,0,10,6,22,6,0,0,3,3,13,9,24,0,0
1151,0,15-74,SysselsatteArb,2011,1151,114,9,0,0,0,9,6,24,3,0,0,0,17,7,12,24,3,0
1151,0,15-74,SysselsatteArb,2012,1151,108,6,0,3,0,7,6,20,3,0,0,3,14,9,11,23,3,0
1151,0,15-74,SysselsatteArb,2013,1151,103,3,0,0,0,13,3,19,7,0,0,3,13,6,12,21,3,0
1151,0,15-74,SysselsatteArb,2014,1151,105,6,0,0,0,10,3,21,6,0,0,0,9,9,13,22,6,0
1151,0,15-74,SysselsatteArb,2015,1151,96,6,0,0,0,12,3,18,3,0,0,0,6,9,10,23,3,3
1151,0,15-74,SysselsatteArb,2016,1151,94,6,0,0,0,9,6,19,0,0,0,3,3,6,9,27,3,3
1151,0,15-74,SysselsatteArb,2017,1151,99,6,0,0,0,6,6,20,3,0,0,0,6,6,13,24,6,3
1151,0,15-74,SysselsatteArb,2018,1151,90,6,0,0,0,9,3,17,3,0,0,0,6,6,17,20,3,0
1151,0,15-74,SysselsatteArb,2019,1151,88,6,0,0,0,3,9,20,0,0,0,0,6,6,12,20,3,3
1151,0,15-74,SysselsatteArb,2020,1151,96,6,0,0,0,6,NA,25,0,0,0,NA,3,6,NA,NA,3,NA
1151,0,55-66,SysselsatteArb,2008,1151,24,3,0,0,0,3,0,4,3,0,0,0,0,3,3,5,0,0
1151,0,55-66,SysselsatteArb,2009,1151,23,3,0,0,0,4,0,0,0,0,0,3,0,0,3,7,3,0
1151,0,55-66,SysselsatteArb,2010,1151,22,3,0,0,0,3,0,0,3,0,0,3,0,3,3,4,0,0
1151,0,55-66,SysselsatteArb,2011,1151,25,3,0,0,0,3,0,3,0,0,0,0,0,3,3,7,3,0
1151,0,55-66,SysselsatteArb,2012,1151,33,0,0,0,0,3,3,3,0,0,0,3,4,3,3,8,3,0
1151,0,55-66,SysselsatteArb,2013,1151,29,0,0,0,0,3,3,4,0,0,0,0,3,3,6,7,0,0
1151,0,55-66,SysselsatteArb,2014,1151,23,3,0,0,0,4,0,3,3,0,0,0,0,0,7,3,0,0
1151,0,55-66,SysselsatteArb,2015,1151,19,3,0,0,0,3,0,3,0,0,0,0,0,3,4,0,0,3
1151,0,55-66,SysselsatteArb,2016,1151,30,0,0,0,0,3,0,3,0,0,0,3,3,3,6,6,0,3
1151,0,55-66,SysselsatteArb,2017,1151,21,0,0,0,0,0,3,3,0,0,0,0,3,3,4,5,0,0
1151,0,55-66,SysselsatteArb,2018,1151,27,3,0,0,0,3,0,3,0,0,0,0,0,3,7,5,3,0
1151,0,55-66,SysselsatteArb,2019,1151,24,3,0,0,0,0,0,6,0,0,0,0,3,0,5,7,0,0
1151,0,55-66,SysselsatteArb,2020,1151,31,3,0,0,0,3,NA,3,0,0,0,NA,0,3,NA,NA,0,NA
1151,0,67-74,SysselsatteArb,2008,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
