Knr,Kjonn,ContentsCode,Aar,knavn,00-99_15-74,00-99_55-66,00-99_67-74,01-03_15-74,01-03_55-66,01-03_67-74,05-09_15-74,05-09_55-66,05-09_67-74,10-33_15-74,10-33_55-66,10-33_67-74,35-39_15-74,35-39_55-66,35-39_67-74,41-43_15-74,41-43_55-66,41-43_67-74,45-47_15-74,45-47_55-66,45-47_67-74,49-53_15-74,49-53_55-66,49-53_67-74,55-56_15-74,55-56_55-66,55-56_67-74,58-63_15-74,58-63_55-66,58-63_67-74,64-66_15-74,64-66_55-66,64-66_67-74,68-75_15-74,68-75_55-66,68-75_67-74,77-82_15-74,77-82_55-66,77-82_67-74,84_15-74,84_55-66,84_67-74,85_15-74,85_55-66,85_67-74,86-88_15-74,86-88_55-66,86-88_67-74,90-99_15-74,90-99_55-66,90-99_67-74,00_15-74,00_55-66,00_67-74
1149,0,SysselsatteArb,2010,1149,14591,2566,265,447,98,56,161,16,0,2571,486,37,102,17,0,1532,192,15,2080,267,39,1424,281,27,257,21,3,157,12,3,114,29,0,416,102,16,472,94,7,379,89,4,1199,280,17,2807,494,17,372,53,14,101,35,10
1149,0,SysselsatteArb,2011,1149,14781,2575,290,378,97,44,172,14,3,2475,482,35,105,19,0,1682,207,22,2149,261,40,1346,258,29,281,18,7,133,13,3,99,31,3,432,96,21,563,109,10,390,94,10,1154,278,16,2950,510,27,384,58,12,88,30,8
1149,0,SysselsatteArb,2012,1149,14989,2629,313,369,84,59,187,15,3,2408,494,35,107,23,0,1775,216,20,2144,269,40,1365,264,35,285,19,5,160,12,3,100,27,0,414,86,25,671,120,20,448,94,3,1162,288,22,2929,521,21,370,66,8,95,31,14
1149,0,SysselsatteArb,2013,1149,15239,2762,340,357,85,56,209,24,3,2367,468,36,128,23,3,1876,236,25,2030,283,35,1470,325,39,336,21,8,158,15,3,97,26,0,444,113,29,628,116,19,466,107,3,1197,277,19,3002,538,36,371,68,14,103,37,12
1149,0,SysselsatteArb,2014,1149,15457,2778,358,337,87,51,246,29,0,2353,441,32,112,24,0,1907,243,29,2005,289,37,1495,318,45,343,28,7,135,12,3,81,23,0,495,118,35,616,136,10,474,102,10,1244,296,25,3162,540,44,356,61,19,96,31,11
1149,0,SysselsatteArb,2015,1149,15066,2726,342,340,89,53,194,20,0,2302,431,30,105,20,3,1811,245,21,1983,290,38,1441,324,18,259,22,6,141,12,3,75,23,0,473,113,29,586,125,7,427,98,9,1197,273,15,3151,520,56,416,69,20,165,52,34
1149,0,SysselsatteArb,2016,1149,15287,2731,356,367,80,54,196,21,0,2313,451,29,110,21,0,1808,250,23,2001,285,32,1362,307,22,265,21,3,155,12,3,77,28,0,448,106,31,727,136,11,476,96,8,1213,271,17,3167,532,58,437,72,16,165,42,49
1149,0,SysselsatteArb,2017,1149,15728,2754,364,347,81,53,263,28,0,2426,457,26,109,22,0,1907,246,31,1991,281,36,1407,312,27,265,21,6,163,17,3,72,20,0,461,109,35,810,153,12,469,94,8,1257,258,17,3197,543,51,426,67,15,158,45,44
1149,0,SysselsatteArb,2018,1149,15866,2732,373,358,79,45,300,28,3,2419,463,27,114,22,3,1807,255,24,1951,279,34,1431,304,37,315,25,3,180,17,0,67,20,0,462,96,39,892,163,12,437,84,5,1294,251,19,3297,551,58,403,59,22,139,36,42
1149,0,SysselsatteArb,2019,1149,15978,2834,384,329,84,39,307,31,3,2476,486,35,123,24,0,1891,273,28,1939,311,28,1430,320,41,280,22,3,186,15,3,64,18,0,480,98,43,861,153,13,476,92,6,1318,254,19,3280,556,63,409,62,20,129,35,40
1149,0,SysselsatteArb,2020,1149,16059,2900,386,338,82,54,291,29,3,2470,482,28,133,24,0,1920,304,28,2020,340,34,1443,357,52,269,25,4,194,13,0,75,17,3,487,89,47,883,150,10,481,95,7,1333,241,13,3208,548,57,407,70,17,107,34,29
1151,0,SysselsatteArb,2008,1151,111,24,0,9,3,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,26,4,0,9,3,0,0,0,0,0,0,0,0,0,0,11,0,0,10,3,0,10,3,0,21,5,0,3,0,0,0,0,0
1151,0,SysselsatteArb,2009,1151,105,23,0,6,3,0,0,0,0,3,0,0,0,0,0,11,4,0,3,0,0,22,0,0,3,0,0,0,0,0,0,0,0,3,3,0,12,0,0,6,0,0,9,3,0,24,7,0,3,3,0,0,0,0
1151,0,SysselsatteArb,2010,1151,105,22,3,9,3,0,0,0,0,0,0,0,0,0,0,10,3,0,6,0,0,22,0,0,6,3,0,0,0,0,0,0,0,3,3,0,3,0,0,13,3,0,9,3,0,24,4,3,0,0,0,0,0,0
1151,0,SysselsatteArb,2011,1151,114,25,6,9,3,0,0,0,0,0,0,0,0,0,0,9,3,0,6,0,0,24,3,0,3,0,3,0,0,0,0,0,0,0,0,0,17,0,3,7,3,0,12,3,0,24,7,0,3,3,0,0,0,0
1151,0,SysselsatteArb,2012,1151,108,33,0,6,0,0,0,0,0,3,0,0,0,0,0,7,3,0,6,3,0,20,3,0,3,0,0,0,0,0,0,0,0,3,3,0,14,4,0,9,3,0,11,3,0,23,8,0,3,3,0,0,0,0
1151,0,SysselsatteArb,2013,1151,103,29,3,3,0,0,0,0,0,0,0,0,0,0,0,13,3,3,3,3,0,19,4,0,7,0,0,0,0,0,0,0,0,3,0,0,13,3,0,6,3,0,12,6,0,21,7,0,3,0,0,0,0,0
1151,0,SysselsatteArb,2014,1151,105,23,6,6,3,0,0,0,0,0,0,0,0,0,0,10,4,0,3,0,0,21,3,0,6,3,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,3,13,7,0,22,3,0,6,0,3,0,0,0
1151,0,SysselsatteArb,2015,1151,96,19,9,6,3,0,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,18,3,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,9,3,0,10,4,0,23,0,3,3,0,0,3,3,0
1151,0,SysselsatteArb,2016,1151,94,30,3,6,0,0,0,0,0,0,0,0,0,0,0,9,3,0,6,0,0,19,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,6,3,0,9,6,0,27,6,3,3,0,0,3,3,0
1151,0,SysselsatteArb,2017,1151,99,21,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,3,0,20,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,3,0,13,4,3,24,5,3,6,0,0,3,0,0
1151,0,SysselsatteArb,2018,1151,90,27,6,6,3,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,17,3,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,6,3,0,17,7,0,20,5,3,3,3,0,0,0,0
1151,0,SysselsatteArb,2019,1151,88,24,6,6,3,3,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,3,12,5,0,20,7,0,3,0,0,3,0,0
1151,0,SysselsatteArb,2020,1151,96,31,3,6,3,0,0,0,0,0,0,0,0,0,0,6,3,0,NA,NA,NA,25,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,3,0,0,6,3,0,NA,NA,NA,NA,NA,NA,3,0,0,NA,NA,NA
1160,0,SysselsatteArb,2008,1160,4422,771,128,678,143,57,6,3,0,785,111,7,94,14,3,444,70,10,494,65,6,213,53,8,84,8,0,168,3,3,20,8,0,117,15,8,180,35,6,158,49,3,349,98,4,563,80,7,49,9,3,20,7,3
1160,0,SysselsatteArb,2009,1160,4450,767,141,658,126,65,6,3,0,852,113,11,88,14,3,473,75,11,447,59,10,194,53,8,120,10,0,161,9,0,25,8,0,125,19,6,175,27,3,151,44,6,330,94,4,577,100,11,51,7,3,17,6,0
1160,0,SysselsatteArb,2010,1160,4544,798,138,649,121,62,3,0,0,901,116,12,80,17,3,482,80,8,437,61,6,207,56,10,115,13,3,171,20,0,19,5,0,122,23,9,187,35,0,166,43,3,349,92,4,575,93,9,49,13,3,32,10,6
