"03321: Sysselsatte (15-74 år) per 4. kvartal. Pendlingsstrømmer, etter statistikkvariabel, arbeidsstedskommune, bostedskommune og år"

"statistikkvariabel";"arbeidsstedskommune";"bostedskommune";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Sysselsatte personer";"1149 Karmøy";"1135 Sauda";4;5;2;2;5;7;6;9;5;9;13;16;13;16;15;14;8;7;8;7;6
"Sysselsatte personer";"1149 Karmøy";"1145 Bokn";15;8;8;8;11;11;8;14;9;9;8;11;11;17;22;25;27;31;31;35;41
"Sysselsatte personer";"1149 Karmøy";"1146 Tysvær";307;319;350;350;369;392;397;448;447;415;427;424;421;467;538;520;540;565;583;597;645
"Sysselsatte personer";"1149 Karmøy";"1149 Karmøy";10592;10518;10513;10730;10744;10877;11107;11771;11966;11612;11444;11466;11598;11721;11858;11539;11602;11799;11759;11701;11637
"Sysselsatte personer";"1149 Karmøy";"1151 Utsira";2;1;0;4;1;0;1;3;2;3;1;1;1;3;1;3;3;2;1;3;3
"Sysselsatte personer";"1149 Karmøy";"1154 Vindafjord (1965-2005)";49;49;55;59;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1149 Karmøy";"1159 Ølen (2002-2005)";19;18;19;17;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1149 Karmøy";"1160 Vindafjord";0;0;0;0;0;74;73;87;84;76;72;88;78;73;83;73;82;85;97;95;103
"Sysselsatte personer";"1149 Karmøy";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
"Sysselsatte personer";"1149 Karmøy";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195
"Sysselsatte personer";"1149 Karmøy";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
"Sysselsatte personer";"1149 Karmøy";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76
"Sysselsatte personer";"1149 Karmøy";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"Sysselsatte personer";"1149 Karmøy";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"Sysselsatte personer";"1149 Karmøy";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
"Sysselsatte personer";"1149 Karmøy";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"Sysselsatte personer";"1149 Karmøy";"1211 Etne (-2019)";11;12;9;13;9;11;11;16;15;19;20;19;16;22;22;18;17;22;22;21;0
"Sysselsatte personer";"1149 Karmøy";"1216 Sveio (-2019)";121;112;111;109;126;125;128;133;127;112;140;135;145;155;159;156;176;180;178;188;0
"Sysselsatte personer";"1149 Karmøy";"1219 Bømlo (1916-2019)";25;30;25;19;21;23;52;70;33;33;37;33;34;29;37;35;32;36;41;24;0
"Sysselsatte personer";"1149 Karmøy";"1221 Stord (-2019)";15;12;12;7;9;18;15;22;31;43;40;53;44;42;33;51;55;66;65;90;0
"Sysselsatte personer";"1149 Karmøy";"1222 Fitjar (-2019)";2;2;1;2;1;1;1;3;9;7;7;10;13;10;10;6;7;6;10;13;0
"Sysselsatte personer";"1149 Karmøy";"1223 Tysnes (-2019)";3;2;2;2;4;5;3;7;4;4;8;8;5;7;7;7;6;8;6;4;0
"Sysselsatte personer";"1149 Karmøy";"1224 Kvinnherad (-2019)";23;26;24;24;25;22;13;37;13;11;13;17;18;14;11;11;15;17;17;14;0
"Sysselsatte personer";"1149 Karmøy";"1228 Odda (1913-2019)";1;2;0;3;6;4;4;1;1;3;5;3;7;6;6;1;3;6;6;7;0
"Sysselsatte personer";"1149 Karmøy";"1231 Ullensvang (1977-2019)";2;3;1;1;3;3;2;1;2;1;2;2;2;2;2;3;3;2;3;2;0
"Sysselsatte personer";"1151 Utsira";"1106 Haugesund";4;4;5;1;0;3;3;1;0;2;2;2;1;1;1;4;3;5;3;2;3
"Sysselsatte personer";"1151 Utsira";"1135 Sauda";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1145 Bokn";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1146 Tysvær";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Sysselsatte personer";"1151 Utsira";"1149 Karmøy";7;7;2;3;3;1;1;3;1;4;3;3;1;2;1;1;1;2;2;2;2
"Sysselsatte personer";"1151 Utsira";"1151 Utsira";98;102;98;87;88;99;102;97;104;92;97;102;96;94;98;88;89;90;82;83;85
"Sysselsatte personer";"1151 Utsira";"1154 Vindafjord (1965-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1159 Ølen (2002-2005)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1211 Etne (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1216 Sveio (-2019)";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1219 Bømlo (1916-2019)";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1221 Stord (-2019)";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1222 Fitjar (-2019)";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1223 Tysnes (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1224 Kvinnherad (-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1228 Odda (1913-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1151 Utsira";"1231 Ullensvang (1977-2019)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1106 Haugesund";61;70;74;74;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1135 Sauda";11;7;10;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1145 Bokn";2;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1146 Tysvær";72;95;95;88;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1149 Karmøy";29;32;25;30;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1151 Utsira";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1154 Vindafjord (1965-2005)";1616;1581;1562;1537;1521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1159 Ølen (2002-2005)";145;144;161;188;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"1160 Vindafjord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1154 Vindafjord (1965-2005)";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
