Knr,Naering,Kjonn,Alder,ContentsCode,Aar,value
4611,55-56,0,55-66,SysselsatteArb,2009,0
4611,55-56,0,55-66,SysselsatteArb,2010,0
4611,55-56,0,55-66,SysselsatteArb,2011,0
4611,55-56,0,55-66,SysselsatteArb,2012,0
4611,55-56,0,55-66,SysselsatteArb,2013,0
4611,55-56,0,55-66,SysselsatteArb,2014,0
4611,55-56,0,55-66,SysselsatteArb,2015,0
4611,55-56,0,55-66,SysselsatteArb,2016,0
4611,55-56,0,55-66,SysselsatteArb,2017,0
4611,55-56,0,55-66,SysselsatteArb,2018,0
4611,55-56,0,55-66,SysselsatteArb,2019,0
4611,55-56,0,55-66,SysselsatteArb,2020,12
4611,55-56,0,67-74,SysselsatteArb,2008,0
4611,55-56,0,67-74,SysselsatteArb,2009,0
4611,55-56,0,67-74,SysselsatteArb,2010,0
4611,55-56,0,67-74,SysselsatteArb,2011,0
4611,55-56,0,67-74,SysselsatteArb,2012,0
4611,55-56,0,67-74,SysselsatteArb,2013,0
4611,55-56,0,67-74,SysselsatteArb,2014,0
4611,55-56,0,67-74,SysselsatteArb,2015,0
4611,55-56,0,67-74,SysselsatteArb,2016,0
4611,55-56,0,67-74,SysselsatteArb,2017,0
4611,55-56,0,67-74,SysselsatteArb,2018,0
4611,55-56,0,67-74,SysselsatteArb,2019,0
4611,55-56,0,67-74,SysselsatteArb,2020,0
4611,58-63,0,15-74,SysselsatteArb,2008,0
4611,58-63,0,15-74,SysselsatteArb,2009,0
4611,58-63,0,15-74,SysselsatteArb,2010,0
4611,58-63,0,15-74,SysselsatteArb,2011,0
4611,58-63,0,15-74,SysselsatteArb,2012,0
4611,58-63,0,15-74,SysselsatteArb,2013,0
4611,58-63,0,15-74,SysselsatteArb,2014,0
4611,58-63,0,15-74,SysselsatteArb,2015,0
4611,58-63,0,15-74,SysselsatteArb,2016,0
4611,58-63,0,15-74,SysselsatteArb,2017,0
4611,58-63,0,15-74,SysselsatteArb,2018,0
4611,58-63,0,15-74,SysselsatteArb,2019,0
4611,58-63,0,15-74,SysselsatteArb,2020,22
4611,58-63,0,55-66,SysselsatteArb,2008,0
4611,58-63,0,55-66,SysselsatteArb,2009,0
4611,58-63,0,55-66,SysselsatteArb,2010,0
4611,58-63,0,55-66,SysselsatteArb,2011,0
4611,58-63,0,55-66,SysselsatteArb,2012,0
4611,58-63,0,55-66,SysselsatteArb,2013,0
4611,58-63,0,55-66,SysselsatteArb,2014,0
4611,58-63,0,55-66,SysselsatteArb,2015,0
4611,58-63,0,55-66,SysselsatteArb,2016,0
4611,58-63,0,55-66,SysselsatteArb,2017,0
4611,58-63,0,55-66,SysselsatteArb,2018,0
4611,58-63,0,55-66,SysselsatteArb,2019,0
4611,58-63,0,55-66,SysselsatteArb,2020,7
4611,58-63,0,67-74,SysselsatteArb,2008,0
4611,58-63,0,67-74,SysselsatteArb,2009,0
4611,58-63,0,67-74,SysselsatteArb,2010,0
4611,58-63,0,67-74,SysselsatteArb,2011,0
4611,58-63,0,67-74,SysselsatteArb,2012,0
4611,58-63,0,67-74,SysselsatteArb,2013,0
4611,58-63,0,67-74,SysselsatteArb,2014,0
4611,58-63,0,67-74,SysselsatteArb,2015,0
4611,58-63,0,67-74,SysselsatteArb,2016,0
4611,58-63,0,67-74,SysselsatteArb,2017,0
4611,58-63,0,67-74,SysselsatteArb,2018,0
4611,58-63,0,67-74,SysselsatteArb,2019,0
4611,58-63,0,67-74,SysselsatteArb,2020,0
4611,64-66,0,15-74,SysselsatteArb,2008,0
4611,64-66,0,15-74,SysselsatteArb,2009,0
4611,64-66,0,15-74,SysselsatteArb,2010,0
4611,64-66,0,15-74,SysselsatteArb,2011,0
4611,64-66,0,15-74,SysselsatteArb,2012,0
4611,64-66,0,15-74,SysselsatteArb,2013,0
4611,64-66,0,15-74,SysselsatteArb,2014,0
4611,64-66,0,15-74,SysselsatteArb,2015,0
4611,64-66,0,15-74,SysselsatteArb,2016,0
4611,64-66,0,15-74,SysselsatteArb,2017,0
4611,64-66,0,15-74,SysselsatteArb,2018,0
4611,64-66,0,15-74,SysselsatteArb,2019,0
4611,64-66,0,15-74,SysselsatteArb,2020,NA
4611,64-66,0,55-66,SysselsatteArb,2008,0
4611,64-66,0,55-66,SysselsatteArb,2009,0
4611,64-66,0,55-66,SysselsatteArb,2010,0
4611,64-66,0,55-66,SysselsatteArb,2011,0
4611,64-66,0,55-66,SysselsatteArb,2012,0
4611,64-66,0,55-66,SysselsatteArb,2013,0
4611,64-66,0,55-66,SysselsatteArb,2014,0
4611,64-66,0,55-66,SysselsatteArb,2015,0
4611,64-66,0,55-66,SysselsatteArb,2016,0
4611,64-66,0,55-66,SysselsatteArb,2017,0
4611,64-66,0,55-66,SysselsatteArb,2018,0
4611,64-66,0,55-66,SysselsatteArb,2019,0
4611,64-66,0,55-66,SysselsatteArb,2020,NA
4611,64-66,0,67-74,SysselsatteArb,2008,0
4611,64-66,0,67-74,SysselsatteArb,2009,0
4611,64-66,0,67-74,SysselsatteArb,2010,0
4611,64-66,0,67-74,SysselsatteArb,2011,0
4611,64-66,0,67-74,SysselsatteArb,2012,0
4611,64-66,0,67-74,SysselsatteArb,2013,0
4611,64-66,0,67-74,SysselsatteArb,2014,0
4611,64-66,0,67-74,SysselsatteArb,2015,0
4611,64-66,0,67-74,SysselsatteArb,2016,0
4611,64-66,0,67-74,SysselsatteArb,2017,0
4611,64-66,0,67-74,SysselsatteArb,2018,0
4611,64-66,0,67-74,SysselsatteArb,2019,0
4611,64-66,0,67-74,SysselsatteArb,2020,NA
4611,68-75,0,15-74,SysselsatteArb,2008,0
4611,68-75,0,15-74,SysselsatteArb,2009,0
4611,68-75,0,15-74,SysselsatteArb,2010,0
4611,68-75,0,15-74,SysselsatteArb,2011,0
4611,68-75,0,15-74,SysselsatteArb,2012,0
4611,68-75,0,15-74,SysselsatteArb,2013,0
4611,68-75,0,15-74,SysselsatteArb,2014,0
4611,68-75,0,15-74,SysselsatteArb,2015,0
4611,68-75,0,15-74,SysselsatteArb,2016,0
4611,68-75,0,15-74,SysselsatteArb,2017,0
4611,68-75,0,15-74,SysselsatteArb,2018,0
4611,68-75,0,15-74,SysselsatteArb,2019,0
4611,68-75,0,15-74,SysselsatteArb,2020,39
4611,68-75,0,55-66,SysselsatteArb,2008,0
4611,68-75,0,55-66,SysselsatteArb,2009,0
4611,68-75,0,55-66,SysselsatteArb,2010,0
4611,68-75,0,55-66,SysselsatteArb,2011,0
4611,68-75,0,55-66,SysselsatteArb,2012,0
4611,68-75,0,55-66,SysselsatteArb,2013,0
4611,68-75,0,55-66,SysselsatteArb,2014,0
4611,68-75,0,55-66,SysselsatteArb,2015,0
4611,68-75,0,55-66,SysselsatteArb,2016,0
4611,68-75,0,55-66,SysselsatteArb,2017,0
4611,68-75,0,55-66,SysselsatteArb,2018,0
4611,68-75,0,55-66,SysselsatteArb,2019,0
4611,68-75,0,55-66,SysselsatteArb,2020,12
4611,68-75,0,67-74,SysselsatteArb,2008,0
4611,68-75,0,67-74,SysselsatteArb,2009,0
4611,68-75,0,67-74,SysselsatteArb,2010,0
4611,68-75,0,67-74,SysselsatteArb,2011,0
4611,68-75,0,67-74,SysselsatteArb,2012,0
4611,68-75,0,67-74,SysselsatteArb,2013,0
4611,68-75,0,67-74,SysselsatteArb,2014,0
4611,68-75,0,67-74,SysselsatteArb,2015,0
4611,68-75,0,67-74,SysselsatteArb,2016,0
4611,68-75,0,67-74,SysselsatteArb,2017,0
4611,68-75,0,67-74,SysselsatteArb,2018,0
4611,68-75,0,67-74,SysselsatteArb,2019,0
4611,68-75,0,67-74,SysselsatteArb,2020,0
4611,77-82,0,15-74,SysselsatteArb,2008,0
4611,77-82,0,15-74,SysselsatteArb,2009,0
4611,77-82,0,15-74,SysselsatteArb,2010,0
4611,77-82,0,15-74,SysselsatteArb,2011,0
4611,77-82,0,15-74,SysselsatteArb,2012,0
4611,77-82,0,15-74,SysselsatteArb,2013,0
4611,77-82,0,15-74,SysselsatteArb,2014,0
4611,77-82,0,15-74,SysselsatteArb,2015,0
4611,77-82,0,15-74,SysselsatteArb,2016,0
4611,77-82,0,15-74,SysselsatteArb,2017,0
4611,77-82,0,15-74,SysselsatteArb,2018,0
4611,77-82,0,15-74,SysselsatteArb,2019,0
4611,77-82,0,15-74,SysselsatteArb,2020,68
4611,77-82,0,55-66,SysselsatteArb,2008,0
4611,77-82,0,55-66,SysselsatteArb,2009,0
4611,77-82,0,55-66,SysselsatteArb,2010,0
4611,77-82,0,55-66,SysselsatteArb,2011,0
4611,77-82,0,55-66,SysselsatteArb,2012,0
4611,77-82,0,55-66,SysselsatteArb,2013,0
4611,77-82,0,55-66,SysselsatteArb,2014,0
4611,77-82,0,55-66,SysselsatteArb,2015,0
