Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
1145,0,67-74,Sysselsatte,2009,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1145,0,67-74,Sysselsatte,2010,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,67-74,Sysselsatte,2011,8,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1145,0,67-74,Sysselsatte,2012,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,67-74,Sysselsatte,2013,10,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,67-74,Sysselsatte,2014,20,7,0,0,0,4,3,3,0,0,0,0,0,0,0,3,0,0
1145,0,67-74,Sysselsatte,2015,13,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,67-74,Sysselsatte,2016,18,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
1145,0,67-74,Sysselsatte,2017,24,11,0,0,0,4,0,0,0,0,0,0,3,3,0,3,0,0
1145,0,67-74,Sysselsatte,2018,15,8,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
1145,0,67-74,Sysselsatte,2019,19,7,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0
1145,0,67-74,Sysselsatte,2020,17,4,0,0,0,4,0,6,0,0,0,0,0,0,0,3,0,0
1146,0,15-74,Sysselsatte,2008,5193,349,401,582,60,497,764,295,204,60,40,121,183,161,398,946,113,19
1146,0,15-74,Sysselsatte,2009,5145,348,402,562,67,488,714,274,194,64,37,141,148,179,422,973,108,24
